Traffic_Speed,Traffic_Density,Traffic_Volume,Occupancy_Rates,Time_of_Day,Day_of_Week,Seasonal_Variations,Temperature,Precipitation,Road_Type,Number_of_Lanes,Road_Construction_or_Incidents,Past_Traffic_Patterns,Previous_Congestion_Events,Public_Events_or_Holidays,Bus_or_Train_Schedules,Special_Events,Location,Proximity_to_Points_of_Interest,Congestion
42.472407130841745,0.2666196359547577,167.76755768115768,0.5708920959462287,13.727901078806227,2,0.6966889878731969,21.365585627041835,1,1,4,1,0.003929321422217802,0,0,1,0,0.5239116767043972,0.661476768856287,0
77.04285838459498,0.5877108526405224,161.1404595823999,0.6576769780339606,19.330375903199673,6,0.7253263907358781,15.205219235420678,0,1,4,0,0.4954591929029444,0,0,1,0,0.6079882311965377,0.8988110930274216,0
63.919636508684306,0.8856512522887674,457.8145612344665,0.27532752915474934,18.243862314963817,2,0.8363785774103993,7.390815394757087,1,0,4,1,0.10022825664288426,0,1,1,0,0.9965220719246723,0.7839607870610179,0
55.919509051822196,0.759002397768605,162.29578993227773,0.5374118697248993,3.6935977126505684,5,0.9744393106384753,8.911232081339385,0,0,4,0,0.7543759555249097,0,1,0,0,0.2988202348114175,0.7809152521545261,0
29.36111842654619,0.8259050330753047,172.37737675788395,0.5002221882006241,3.5819872737953737,3,0.9756019191566524,15.29498971804533,0,0,4,0,0.27607513606941037,1,0,0,1,0.32461724231147737,0.9271837688793476,0
29.35967122017216,0.6929050300396457,391.72921808808366,0.6829812637517898,6.43618482587792,2,0.0652767575664639,-9.73608724507774,0,0,2,1,0.4436456466034787,0,0,1,0,0.18277390266349636,0.9899349514629996,0
23.485016730091967,0.7230489080660673,252.382929102743,0.7342609423368824,8.665793432184893,4,0.8218393227529025,-6.4670559195875565,0,0,2,0,0.08703356509155424,0,1,0,1,0.895866939157868,0.5812827319610596,0
71.97056874649611,0.8642760864087874,399.51975062983155,0.10850974003417077,9.802933953803581,2,0.6463099336573813,29.656613049335526,0,0,2,0,0.28665924844725266,0,0,1,0,0.7444883899492662,0.10888161603116575,0
56.06690070459253,0.32470120797326735,79.41477090397336,0.5718139433411549,16.31273320400029,4,0.6473421343730912,-6.495445490891916,0,1,2,1,0.781490243258572,0,0,0,0,0.10564284887024189,0.4591299077754364,0
62.48435466776273,0.5404824672788264,269.40703715302294,0.13628505938381033,1.3603303719800497,6,0.1283499266146948,21.80616182947273,0,0,2,1,0.15158791190231946,0,0,0,0,0.9817673511979657,0.7876011464616444,0
21.23506965774815,0.299088497637642,65.12612008247719,0.4842010655541492,0.8321449014255933,2,0.6501871664456533,31.401717384907364,0,1,4,1,0.6471595611269574,0,0,1,0,0.730961708161116,0.02772532476184919,0
78.19459112971967,0.9889012071969823,78.19394155490954,0.30134291033057475,9.405853510653817,4,0.9824825806012478,2.1807621935779,0,0,4,1,0.9174258528045012,0,0,0,0,0.8505221096049745,0.05688743835614907,0
69.94655844802531,0.949653405717952,457.8968540049849,0.3147436196654989,16.73192861131153,2,0.911818569539447,6.672114667678141,1,0,2,0,0.6798367597577203,0,1,0,0,0.048150789173200925,0.06715778238282133,0
32.74034664069657,0.13548413023165531,112.66041700291782,0.34707095241664965,4.642448230955582,6,0.4391306608048505,15.601463263012231,0,0,2,1,0.8110216892922268,0,0,0,0,0.5049609189421677,0.7310357583283108,0
30.909498032426036,0.7350176552641197,289.5893070238477,0.5349047143347271,15.396107550150042,2,0.03994797328609434,29.67690363373631,0,0,2,0,0.1089716293039158,0,0,0,1,0.6985982867270393,0.5011666285631721,0
31.00427059120603,0.9327234856740992,234.99302117031795,0.3338349759681385,6.235875310567187,1,0.36229349000020483,32.385751426718905,0,1,4,1,0.25073182600205446,1,0,0,0,0.5429465845718413,0.3688979435205936,0
38.254534577572265,0.2625178106146002,206.3044968164792,0.6128893354131963,21.266066611524394,4,0.8263903116005552,23.28034616500706,0,1,2,0,0.894538852240591,0,0,0,0,0.6666474656992775,0.10561704526173599,0
51.48538589793427,0.6111507074973666,454.9250055592726,0.3831691699017088,21.496558662398797,6,0.701499101465166,-6.102110761538769,0,0,2,0,0.7151056136180892,0,0,0,0,0.8178740635904725,0.7322402502058891,1
45.916701118526944,0.9239394678292376,59.82052854897027,0.14784724021697104,7.134892902751836,4,0.4593436555939564,20.111936999068288,0,0,4,0,0.6395538263773112,0,0,1,0,0.3743370629601962,0.3210198105508997,0
37.47374841188251,0.13055138072721897,348.7053587790151,0.6486318897388751,5.519850095117772,4,0.055101535158831094,8.463667484269791,0,0,4,0,0.6637667361217,0,0,0,0,0.8486686756187097,0.2653240700646672,0
56.71117368334277,0.7276782405221559,483.52749539609766,0.3000308272148942,9.87129532958955,0,0.4268947278233026,11.181544977097772,0,1,2,0,0.4142005543046434,0,1,1,0,0.16291610476529073,0.6523192015535509,0
28.36963163912251,0.3676141066352957,302.0756825578289,0.4029368157194839,5.772758044323569,6,0.4690249397178835,-7.788322434467033,0,1,4,1,0.04455663161765322,0,0,0,0,0.27088605502637475,0.5590108925968418,0
